"id_subj","group","n_trial","rt","acc","identity"
"CNTRL02","CTRL",184,1.1395,1,"non-matching TU"
"CNTRL02","CTRL",185,0.8009,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",186,0.9529,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",187,0.7424,1,"matching TU"
"CNTRL02","CTRL",188,0.9572,1,"matching TU"
"CNTRL02","CTRL",189,0.735,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",190,1.0791,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",191,0.7749,1,"matching TU"
"CNTRL02","CTRL",192,0.5667,1,"matching TU"
"CNTRL02","CTRL",193,0.7456,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",194,0.865,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",195,0.6609,1,"matching TU"
"CNTRL02","CTRL",196,1.1424,1,"non-matching TU"
"CNTRL02","CTRL",197,0.9032,1,"non-matching TU"
"CNTRL02","CTRL",198,0.9003,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",199,1.1027,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",200,0.8374,1,"non-matching SCONOSCIUTO"
"CNTRL04","CTRL",1,0.7391,1,"matching TU"
"CNTRL04","CTRL",2,0.8351,1,"non-matching TU"
"CNTRL04","CTRL",3,1.4269,1,"non-matching TU"
"CNTRL04","CTRL",4,1.0561,1,"non-matching TU"
"CNTRL04","CTRL",5,0.6563,1,"matching TU"
"CNTRL04","CTRL",6,0.8727,1,"matching SCONOSCIUTO"
"CNTRL04","CTRL",7,0.8213,1,"matching TU"
"CNTRL04","CTRL",8,0.9469,1,"matching SCONOSCIUTO"
"CNTRL04","CTRL",9,0.8901,1,"non-matching SCONOSCIUTO"
"CNTRL04","CTRL",10,1.0123,1,"matching SCONOSCIUTO"
"CNTRL04","CTRL",11,1.0113,1,"matching SCONOSCIUTO"
"CNTRL04","CTRL",12,0.8765,1,"matching SCONOSCIUTO"
"CNTRL04","CTRL",13,1.129,1,"non-matching SCONOSCIUTO"
"CNTRL04","CTRL",14,0.7345,1,"matching TU"
